func_args;signature;origin
CollectedSignatures(address,bytes32);\xeb043d149eedb81369bec43d4c3a3a53087debc88d2525f13bfaa3eecda28b5c;10
GasConsumptionLimitsUpdated(uint256,uint256);\x3b49a33ec45179ab3408f6f29a2b208c909ab1460e94af7558808ea22854c106;10
SignedForDeposit(address,bytes32);\x6a09111cb1bbfc898f36504afb4d5411d0dbef45f2c43fac5781e6b640b86a32;10
SignedForWithdraw(address,bytes32);\x962f785fc9b91edbed2fdad62c075258ee14d39bd29cd1e83c298a7bf26d5a65;10
DailyLimit(uint256);\x8d797628d21ca877e321aa59bc2d55eba59ae001c5294d433797019caebab2ab;10
HomeDailyLimit(uint256);\x7cbf6a47cd79c6fef9f0a89db1e9cdca2a3e93d84eae02a0232897b24524089e;10
Hodl(address,uint256);\x115522125a340a348d82c36b243d9dcbb357931a24824ddbe1d13179155e3091;10
Party(address,uint256);\x0dc8f43545dbeec87c6f54e44dac2d8889f2a4b3bf0f62683cd7e1c6346128e7;10
BuyAd(address,uint256,string,string,string,uint256,uint8,address);\x8ecc064365e1af333f887dedffda05b0ac2fd9dbe000cf8fdaf67b71cdb57964;10
ResetContract();\x3eedc1c5e54814696b2f8bc3db741144919f0be9c6de068417606b37c1c48e9d;10
PayoutEarnings(address,uint256,uint8);\x2cf32bc9152b7b2cc04035507f78863f949aa54902c444b942d2b3d965073e8a;10
onTicketPurchase(uint32,address,uint16[]);\x7ee54eecb039e4c14f6114fdca946335646eecc22fdf12c595e1738a36140643;10
onLotteryFinalized(uint32);\x592c0f09c8591a0b30a4d4749fd1d0ba8dcd9b590c62a5bb2eed020e77bddee5;10
Store(bytes32,bytes32,bytes32);\x2ae4b9a1ab09977b80c6945319c72dfde08a25dc354c9057d9db2566274ec944;10
Message(uint256);\xdb5c17b17041a00e40c40ddc3406875c8676803e3a2a50a47f7c56109b884653;10
FundTransfer(address,uint256,uint256,bool);\x8026fe2448be156ffb855f15d0f3dd2dd9f894e691b4cc72bce178af3393c3b5;10
Buy(string,string,uint256,address,address,address,address,bytes2);\xbd805cd1f6f0e402923edd892c18c7fd6b1992f70fd2c2fcec7d90a3391b194e;10
OffChainBuy(address,bytes32);\x12fab4b62ca073e6772f1e1a01f20ec7d15de0ff592dd242761c745cebed04a8;10
BetComplete(bool,uint256,uint256,uint256,address,uint256);\xee0465d32924e88722dbf38d5e3a20e732f50294d20150b3a37f56e972f69397;10
HouseEdgeUpdate(uint256);\xf42206d12724047c0625d003b5d7e636ee868700c63146ee11519f9935f8408c;10
PresalePurchased(address,uint256,uint256,uint256);\x260ecffe36a912f3688d7fa915793137bbaf0980df289ffad7ae877d7ca0a23b;10
CrabHatched(address,uint256,uint256,uint256,uint256,uint256);\x119326b1fd8ed92ff4f7d9da36e3caa7d39681c38d437053fe7e3965cf74aaf8;10
CryptantFragmentsAdded(address,uint256,uint256);\xed28291c8ece55af2a3498316da394241d9026fd7256843843d9f4fa0a56f1e0;10
CryptantFragmentsRemoved(address,uint256,uint256);\x493b0dbd8211d00bb91bce263c489749e7a13b57015e0eb6cb883fe58e74b20a;10
Refund(address,uint256,uint256,uint256);\xb7048c2ad36aadee977bb16b4543a18866044d27a2ca753e1c7dbcfa7d7a6962;10
DonationReceipt(address,string,uint256,uint256,uint256,bytes32);\x9e251c6f2df2b591abddc2ad71988acda2cc1851040e7fcdf1ddcf1936f6dbb7;10
EarlyContribReceipt(address,uint256,bytes32);\xeda6e2db2282248e45eea25fb8cc7367122b2cebe6a93042fad94be959db3649;10
BurnReceipt(address,uint256);\xcab925a3b0cfe3f811ef93b233616633bf1eeb7f9849ec9f49411c45c8500eeb;10
SaleStopped(address,uint256);\x4898556e3bd8b06263e50e938f30f736c1fd2030390474dd6bc0b28d8c545037;10
SaleEnded(address,uint256);\x349f939aaa1895cee67485b264474f0d2a1aac01083917b8ea9f96e4036cbb27;10
LogUserAdded(address);\x187047b56eb20e7a0313254e37dc60b8c1a9d25707114d2caaaee420b2b7ec23;10
LogUserRemoved(address);\x820cfa068d67f8bd8bb05be4525aca026c8a81dd1925efc320ecd01ab716569f;10
ListLog(address,uint8,bool);\xb2b9f39141753d381be198627de12fcb914f91e962c8b67f8e88e032b6fff610;10
Trans(address,address,uint256,uint256,uint256,uint64);\x0785b81b28d386d4d47d85f2ed87364bec6a0dceb86e2f93dd6a50f3545ca3af;10
Requested(address,uint256,uint256);\x2ea88857aaf5a09da335056adf5216caea1b3f94664a7f7344eb0468fa6b3262;10
Approved(address,uint256,uint256);\x6df4c963050304104a3060e9c1fd90c9364d38b6aa09da5b2b0e3215272b6fa5;10
Declined(address,address);\x72d170933aafc1794b1b79068f0ebb5d79395192af2eee24ee90841c22c93569;10
HashRegistered(bytes32,address);\xc8efa9c8172e551d5b2e8b2df8f9e923e17b6df51ddb25093c4cdcd91a8a0a57;10
PreICOPrivateOpened();\xb92bc313a1dd1af48a8ce8ec0f32d65b28bd97bd6b5cd335bf284efac429677f;10
PreICOPrivateClosed();\x62c8c0897700977f9ba2b5105368f9bc53f6706ad593792f78309890baad15c4;10
PreICOPublicOpened();\xbde2446528641a25ea556a12ab95f379eaf55502a78e4725c0bbc95849a62d26;10
PreICOPublicClosed();\x783a3622b7471850d0b0809f590b88f092e919a6c42cac652185fa58db2bd127;10
ICOOpened();\x173e40d07c811a18c48d8909de69668f0650168f0296922007f8a479b7a0a087;10
ICOClosed();\x6274c3e3ca2e096d0f959bbf291d960a8dc9f1a6ba856fcea564a14957c57590;10
SupplyChanged(uint256,uint256);\xed89e864eaa767d73408242ff6a09be53504bda6578087e3cc94dc198390488c;10
SMPAcquired(address,uint256,uint256);\xf6f5f5678d70a34436f0788e5876eb09ab5ee1c567c8272d81561668eb7e0b20;10
BurnTokens(address,uint256,bool);\x375c01173609f15d99280d0173f4b2193dfae42d091ec07077e1fec1bc2c5521;10
AddMod(address,address,bool);\x89afaf9d0e9ca869284f6039dcc591565fd90efc7e1edf695bf5ec192f4d3c34;10
RemoveMod(address,address,bool);\x8c5ae18394139478b20bf69ae1adfbc434c1190102d1bf3479c2be58a8e66cad;10
LogReceivedEth(address,uint256,uint256);\xad5228772b905cdfbb66ec2efd40443386c62960c9bdf728c7c1f2eee09057bb;10
LogSentKrs(address,uint256,uint256);\x5bcd5541b5efb5647fc9a5c637bd03b946f27ae13409c07316888b6b39f8feb4;10
FiatCollectedEvent(uint256,uint256,string);\x96a445b49e0d3df05a7f45352996f7151a574c242205ccec0fd4e645ad37730b;10
FiatToEthEvent(uint256,uint256,uint256);\xaf2b6c9f200da4fcfae46d3c73cc0194bde24e0372305f1723e3b93bf83d6ab5;10
EthToFiatEvent(uint256,uint256,uint256);\x03f9c7953a461c300b8eac3830e80a446740673132ff779cebfa92ac6720e5e1;10
FiatDeliveredEvent(uint256,uint256,string);\xfd834c9dbd49f925823ad84c0bd96cfe7a1cbbe4a7050348a6613edf23886b36;10
EthDonationEvent(uint256,uint256);\x8a11d711c5e1187c21be10076128b600726302476a182e513e46d5ac95541a73;10
CharityAddedEvent(uint256,string,uint8);\xe49ca94a1add087b0ee82150e45546514c28f9f69cee2b8a0510eb667298183f;10
CharityModifiedEvent(uint256,string,uint8);\x4fefc59d949e22da15062846c1e507a2d6bb608249c2190ac46cf44741acb128;10
NewContributor(address,uint256);\x80f8a8834707e8354b741b30bf6902630c62f9a409323711bf0f361f48f032da;10
UpdateContributorsTokens(address,uint256);\x66dc5dd510ce23e51a5cb442cde55bf9aa8ec27fb82f8bbf19445aadc7b3c05e;10
WithdrawContributorsToken(address,uint256,uint256);\x5edeb7cc823f0ce5663dc682f5392af27742645a225dfb3561e3169cf4dde32e;10
StartICO();\x6a6b80772682d230603482c384f27af24be0f9cb49cce7a9009a31880841193d;10
ResetICO();\x709bfbbb9211cec7e9d6203bd75ecb00bc1802373741d11b664a136ae1b0ab02;10
ProxyDeposit(address,uint256);\x15eeaa57c7bd188c1388020bcadc2c436ec60d647d36ef5b9eb3c742217ddee1;10
AcceptConfirm(bytes32,address,uint256);\xa54a545886046ba15ce2ead45862f16963c545622fb354dc4336aca97c7cf724;10
Attend(uint32,string);\x2216e52a05de168c5bdc154ace8b29b2536e3dd97dd2b9da3212da9448243bb5;10
PublishResult(uint32,string,bool);\xa8f7d40560b908aa1f3a14b73704543d677b74a7b07e4373130b1e557c3a8c32;10
NewBOP(address,address,address,uint256,bool,uint256,string);\xa3cbf67d85a1e4c4f29639db1f3e315e06adaddfc0013b267f1df076a1828317;10
PrizeResultCalculated(uint256,uint256[]);\x397a6b3de6cd70e2499d6c79bf91233c63553a77c604f51e4bc4df1355895808;10
GameFinished(address);\x1728dd43546edd06fabfe796e5b641a151aa90998bfd1b1ec0ae98c6e7708459;10
Deployed(string,uint256);\xd173df356aee5cba0b1613410e6edadbdf3c82b31b6637d7bf50d535e300561f;10
SalePaused(string,uint256);\x6dac952201143a41b7bf530c898eb46694647cb0643efb83dbb624736fde6941;10
SaleResumed(string,uint256);\xce524a3785f050d1c206454aa25ff2e6d2b15b6e6d741f7f7af82b0abd7f307d;10
TokensBurned(string,uint256);\xca10c3fa3174b2e5f4635e91f80c87f8aa9991a0e5fa889de679311fa6f672a4;10
BurnRewardIncreased(address,uint256);\xce8ffe665687dd502d71b22b34b49459b58c3a2b2b98a9bb483c38e6709ef9e1;10
TransferSold(address,uint256);\x03bf997b577b4b96a3678d7b0fe7a083c012b9a26ab46058ab959610ac2c398c;10
EntityCreated(uint256);\x302efb4c643d3c981eef4d6010edd94805bcf162fc93ee7501cc9c54cdf44759;10
EntityValidated(uint256);\xdc5f212ee10a1f7c94599a17ac5390d1c6674cf76af9bc7b7f90feadbf02f28a;10
EntityDataUpdated(uint256);\xf27dac71d1c765f51f0afcaf879253d2d4b4c6c44ba742e7998942b107ad10d2;10
EntityInvalid(uint256);\x15a76ba7dcbf9d7afb7e3e2d0fd55c6aeb59642da6bb94c1b26badfd7131d6bc;10
SignerAdded(uint256,address);\x599c236efc4262ea022de8ec69e20c5bf0c0907c98fedf8cafc04d72e6bca6a3;10
SignerDataUpdated(uint256[],address);\xd0c3c90ff8190013cebebe69a1de87f70f503e1836eed53595d95031357bca23;10
SignerUpdateAccepted(uint256,address);\x252617c8ed2bb5809b672fefc33fe390fc6dc828120742ee2a4499b363135a82;10
SignerRemoved(uint256,address);\x46532f1b82ef225ceced2d5222b6ef68b2238a6c344d7fb59dd476850a9cba72;10
EntityClosed(uint256);\x81d5e29f74198b47e32ad799457c4b1d52f7b0529f0f9646ee5d3b8d5afab380;10
SignerConfirmed(uint256,address);\x289bf9f4c95444c8858eee5be12a0d00765b74208b139c0b6891025f997090da;10
EntityExpirationSet(uint256);\xdc34685757bed948e1e1989c1236e947198cef1357c4d24db780445a7d5bbb28;10
EntityRenewalSet(uint256);\xfff076d4295234c02bc94573cc3bd70d96040732f6361d3ef334c8239e3fe79d;10
POECertificate(uint256);\xfe965f29f521fa164541c945acc7028e725323ef8ee5e26f5465bdfa0ee61ceb;10
Certificate(uint256);\x4e9e195b0ddadcfa0de2101e3c4c190d7c3b0d49b7961f044ffdab163e69c340;10
CertificateTransferRequestedToPeer(uint256,address);\xb19107e1545a4f9d0af7b84beb2f9af2ca8d29b7992d0accfe68b9f5c8e41694;10
CertificateTransferRequestedToEntity(uint256,uint256);\xf38cecfdb2dcfb4f93ce405a1c557a02fff3378113407c1bd834ab8304366ee7;10
CertificateTransferAccepted(uint256,address,uint256);\x7a25f7e21a318ae4ab76c33b58816c1f4f5f3def58be41d301aba2af1b798ff6;10
CertificateTransferCancelled(uint256);\x181b36289cfe10914d44ec2467ec145b2655518b0612d8fa8b9cdea315e6dff7;10
EntitySignatureRequested(uint256,uint256);\xfcef4187ee53c4c924b73506a191a063e2f4680a9fe02cf1883ee90cdce45c70;10
PeerSignatureRequested(uint256,address);\xde07dacbcadceba182b3e821a7dd588cb7d39f4924913b987e37a8fb1a23e281;10
CertificateSignedByEntity(uint256,uint256,address);\x7d6b71eb77cd534645f6a43c7f71a33da367a024d4229cbd03396a83200ffc64;10
CertificateSignedByPeer(uint256,address);\x5b3b2ea8bc5da1a1c1e99fe3c5372167a88971174cb4136ea5d659ac6550c781;10
OraclizeNotEnoughFunds(uint256,uint256);\x297545848c21a2a3f33eafa1900936e9187cb875e402b3278afa5016b19f9aff;10
Set(string,address);\x496595ced95720268cf8bc60bae3f35024ff2a130f73ac4e20f5c1eaca35db99;10
Unset(string,address);\xc5b1e78906cea6c780f8b9ad00acbd3678a664f6146c97d3b1a6562a1cd885bb;10
TokenSendStart(address,uint256);\xd79783170f00d1f3a17241ee6025f0e4a301151ed2bec3c761011a1be7cfdab4;10
VersionAdded(address,uint256);\xb4268890e149655b0ccf7d2f3f1a30ccf880f701beb0818903c3961a967f1f17;10
VersionRemoved(address,uint256);\xe9458ba31b3aa498cc3c44ef557df7df5647b994f1e52fd64bb1cfe018d3087e;10
LockingFinished();\xd5b6951701d74484fac8fc9c70e11d7eb722983818da7bcdd9750cc8740e51b2;10
newETHUSDPrice(string);\xb0882c4b7f3efb64e3e21d0451716cab830381610b23afa8df786d7f5ba723f3;10
DepositReleased();\x02300cbb55fb5a102abe3b448abbaad77c9d6fb438f1c39942177651c5f70e46;10
RefundsDisabled();\x6f9f51c776fa2eae83efa23a12ec950301ebb8667b6ec69e745e047e340f327c;10
LogTicket(uint256,address,uint256);\xa01a3a075b7284a4fcc3e7bad506c9a402e9636f448b0ffce0059036b655a775;10
LogResultWinner(uint256,address,uint256,uint256,bytes);\xb9224385e15dbce6b6196c54029d6cd2816e526bfdc79d7293d6ec6604ee341b;10
LogResultNoWinner(uint256,uint256,bytes);\x662c6230740e752d13958b3367e9f1a1c376c64090da2fe4629ede353ff2565d;10
content(string,address,uint256);\xf9614ac59e1bb20607cf8902f16381d07dec53a2c632f19f5ddcb7aa170a98cc;10
SaleToken(address,uint256);\xcffe7d34609bf72ff05d36826ba4c5be3c9c1234d9a41da83cb073bb7770bf24;10
AllocateFounderTokens(address,address,uint256);\xfcd7ce98f647be4f89988a6b2fa0524682d08dbce3adfae5f49b1d0be2443cf1;10
AllocateInflatedTokens(address,address,uint256);\x2ce6831aa926b1c193d1767103c48a68d3257e10bc36462f7ba3b25652a24a36;10
updateDukeHistory(string,bool,string,address,uint256,uint256);\x748d1078288620919b535f5ebfdd121152610afae362ae7cef3f8aa565e0747b;10
errorMessage(string);\x0a57a1b34cbb6b1e06b8b22be21efd71de17250f818bad53ccdc7af913535199;10
LtdParamsChanged(uint256,uint256,uint256);\x57bcef22bef47e139d52bd665ddcace99aa283776b169a8f7939d5ee7a46ea1d;10
AcceptedLegacyAugmintTokenChanged(address,bool);\xae884efbcf119c5626909ea781d57194bdb5943d13bb537cdec2fbd8294febbf;10
LegacyTokenConverted(address,address,uint256);\xed3be8b083d065309356e7da4e9c3ea55ca16ce92d8c239b0bae2aa6fcf32432;10
KPIsAdjusted(uint256,uint256);\x4b963bf442220b4dc37d74344ec57eec2f1766f9a16979d7401e1e0c1a149f80;10
SystemContractsChanged(address,address);\x68700d71686a6c45f4e450fa2f38d15fcddf5956d2bd054075f77d4636ff0f1a;10
SendTo(uint32,uint8,address,address,uint256);\xa5ef9b0dd7fe53cc53b31279fb7e8f421410def7e180acf05ff91441a58d19c4;10
OnSuccessfullyBuy(address,uint256,bool,uint256);\xdda02a94b6f987654c6a801cfc69e67df6e90b0b3cb4d6caf02f24ddd2138ceb;10
ManualTokensSended(address,uint256,bool);\x7e9b9ebc575a404bcdd6fd8ff1862b34760551e1d0546285f6410fb60973d938;10
NewLoan(uint32,uint256,address,uint256,uint256,uint256,uint40);\x1f9972ec35a86b6ea1c3884c02fda9d8d0c5c14089a133610fed51c481b7e208;10
LoanProductActiveStateChanged(uint32,bool);\xf686833114a6119b006ebfaf64ed31277c71b76a9855945de8d58f849bff6890;10
LoanProductAdded(uint32);\xccadd8a27b8a91830a26f7dd76f3acec14cd6bc7bfb79e91113ec547150d95f0;10
LoanRepayed(uint256,address);\x0bc2fda5eb321ed5f7471e814a5c00752523b3ba8fbfeb905e1b8707eefa16c5;10
LoanCollected(uint256,address,uint256,uint256,uint256);\x328dba6669445381058bdb02ebe2ec93eb6f203f283073dee9b206720390f10b;10
Won(address,uint256);\x8b01f9dd0400d6a1e84369a5fb8f6033934856ffa8ebadd707dca302ab551695;10
reinvest(address,uint256);\xd65a26179722ad7d3359f3b9519e48d8f2506584129b56119c6e0dcfed249692;10
payout(address,uint256,string);\x52bcd7c8a81c412cc028a71b05e970e029ed1b7683ad877c9fb88d580022aa04;10
onCompoundContractCompleted(address,uint256,uint256,uint256,uint256,uint256);\xdddc2f8220974b8db89d60a38dd2af79f4783a65cb3cd2d563ff227754116a58;10
onCompoundEarnings(address,uint256,uint256,uint256,uint256,uint32,uint8,uint8);\xec865d37372650172252251b1934f941d8eeb0f86827a07e677259554bd63c96;10
onCompoundContractLocked(address,address,uint256);\xdeb8f24c1568593898ec242355e43d3c70f31adc84c6732f1d7cbc5105276b2d;10
onPayEarningsDone(uint256,uint256,uint256,uint256);\x47ba7a9e69e3e689c641b834c4aeea50c167cd19bd0626878295a29d814458fa;10
onCompoundContractCancelled(uint256,uint256,uint256);\xb6b0f6fcd5cac210a4e069f796fc08884001c58196d61fae70afc11ac4a6b8e3;10
onCompoundContractValidated(uint256);\xe2299fdcc243804a86420592498abc89246e0ea404e05dea00059a827549d67d;10
onAdminUserChanged(address,address);\x8b386be1829503c7a36dc369e2f8130c33625cfa890505b2dc098a17e6cf9f51;10
onOwnershipTransfered(address,address);\xc94ba754626736009810a88a399103c855c738f7b908c110100d549c7157386a;10
onIcoDeadlineChanged(uint256,uint256);\x8be31b561b88551693348bd0fcc35f250f98ac98f326cd3278c77ef9d91f2c07;10
onHardcapChanged(uint256,uint256);\x45e7f52187ed3269c7455f95d538a236773a6c199e92ff890b74136821493977;10
icoIsNowPaused(uint8);\x38eee00dd2af1b17cca37c3a5853db4569874c556cbbda2836a32b88b347677d;10
icoHasRestarted(uint8);\xce08c28aba3d284ad6763c98cefb60bad5a7840360fd5229aa5875bd4d4acd61;10
log(string,string);\x4b5c4277d556d03fbf5ee534fba41dc13982b44f2fa82f1d48fdd8b5b5b692ac;10
log(string,uint256);\xb60e72ccf6d57ab53eb84d7e94a9545806ed7f93c4d5673f11a64f03471e584e;10
NewRound(uint256,uint256,address);\xc9fd594663054be7ff9bbf98b657a883eba5302eb89a5f7241cbc06e1b8abc8c;10
RichestBonus(uint256,address);\xa6e23191ffdbb2d9f88896f10a416cddb17824531838798a8b5b52740e9d8df8;10
PlayerJoined(address,uint256,string);\x269650b7290f5d7cd5c06648e4db2691f0a35bdfe79a605c835f98b983467f02;10
RewardWithdrawn(address,uint256);\x1d3eee4ca001cff39eec6ec7615aacf2f2bd61791273830728ba00ccbd6e1337;10
WinningTeamSet(string);\x330e93e2fd2c03d3f62cb902a867ec421d3387128d528b2405364adfeaa9335e;10
OraclizeQuery(string);\xd7789a3deb1d0944b7966c5d18037fc5b3a0a17236de9e7c20fe3a6345167295;10
VestingCreated(address,address,uint256,uint256,uint256,uint256,bool);\x8ab0315f852790384ddd87eabecba30acafc562f61d585ba1f579d49fd2ad75c;10
VestingRevoked(address);\x68d870ac0aff3819234e8a1fc8f357b40d75212f2dc8594b97690fa205b3bab2;10
BuyStatus(uint256);\x69a26fb801dab2f7407c356e2e6fb94dadee97ed2eb5b3a269f935cc898dba70;10
NewGame(uint256,bytes32,bytes32,bytes32,address,uint256);\x1e9d2d28c1d972d03a7b3e86ea362077ec7c228f102930285148990e16226d4c;10
Result(uint256,address,uint256);\x8179c2b3f821111bf4c1ddac0be4fccdfff2e27c0ccf99a67d130888bd0e55df;10
onLevelUp(uint256,address,bytes32,uint256);\xccd6be6f21260e86b94140de942eac6048d04febe83f8d648d33bc929eee6a73;10
airePotOpen(uint256,address,bytes32,uint256,uint256);\x32e58bde969c2965efbd617dd8cd94ca1a84aded6ea50ab6d0219846863c6569;10
onNewPlayer(uint256,address,bytes32,uint256,uint256,uint256,uint256);\x30ea79e54a76c7eda1c85926f1701c0d92e3a9f65587f01db55f3493d8952d6d;10
onEndTx(address,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256);\xe08cd34b590193a4bbde183dd4e18e0682d0516f30456340bac1d9a6682e7cb5;10
InvestmentAccepted(address,uint256,uint256);\x1def7f1bb47713a117dfc3c28d6e083a9694575385ce28c0cd5fb36aaaac19ad;10
RefundIssued(address,uint256,uint256);\x93c496f36ecab5f5583f216646cac3acb12a63aeacddb1a9251ceb81f0ee36e7;10
OnSetNewBanker(uint256,address,address,uint256,uint256,uint256,uint256,uint256);\x56d05b77de2b4e7c8759bfe846d60baf0073c0c44d40a08371e92cbe7974b228;10
OnNewGame(uint256,address,uint256,uint256,uint256,uint256,uint256,uint256);\x6cfcd64debbdfdab87d0e513352801030a91f0a0eb18f529c2125e8fc4fdf5c1;10
OnGameInfo(uint256,string,string,uint256,uint256,uint256,uint256,uint256);\x9f35c43c2de4e3e0670b8f6e9e634d748b20e3c2076fc5196d5f439306f912b1;10
OnSetOdd(uint256,uint256,uint256,uint256,uint256,uint256);\xd181e665933e72a39ae8ecddb04db15a5bedc1206181b73931300f8721f68e9a;10
OnPlay(uint256,string,address,uint256,string,uint256,uint256,uint256,uint256,uint256);\x7f91055dfd4a86e2d58a445d6dd4f6d7f97815ffbe13cc2368751fa46930c974;10
OnOpenGameResult(uint256,uint256,address,uint256,uint256,uint256);\x5d093feafb3da598c3eb022e176c9b222e750040e1bb515e39072189e096fd4a;10
_lockAccount(address);\xa2445a3eec42b84a8670bf69278278229e99002cc54e77e81720ea6eb346525c;10
_unlockAccount(address);\x083b548f64350b86a35ddedcb65fed0534b9cbf9482b132114caefa2b6702232;10
TransferSell(address,uint256,uint256);\x4a4a1e81e70fe6ed16142120d9064726ea264343a6650a44a80f9ad0286e61d2;10
Trade(address,uint256,address,uint256,address,address,uint256);\x3314c351c2a2a45771640a1442b843167a4da29bd543612311c031bbfb4ffa98;10
FundsMigrated(address);\x0e3e9a671666295c299b941a07625839915442794bf73a484b24bb3e221270c3;10
Created(address,string,bytes);\x932c935c3c9913ab1e795c885cfe0b18652738083fd94d8fdea1844950a5227c;10
Released(address,address,uint256,string);\xaded40980191268694a17a28cd3524dd9cedf6b82232ceb1af14363776500a56;10
AddedAuditor(address);\x5b1199f0aa9847413e76d83b99f9e49cc77158c0c86e3d7e19469c70479504cb;10
BannedAuditor(address);\x0658886b18c6a8db526fe70acaac17e6a9689488f25ff07eb78c8a12818f2c6c;10
AllowedAuditor(address);\x843a6ac13a7563b199b35f22a941a42834329627d31b7e9aca2f73878a1b9979;10
CreatedAudit(uint256);\xde16644961c92a8b1c6d94fa8018fef7fcd8001d687d322779c040545106340a;10
ReviewingAudit(uint256);\x560061bb3c4ef95419f1e8c47cd5b5cfca55c7d1e6ed6ab33ed54ebb61530859;10
AuditorRewarded(uint256,address,uint256);\x22ec851d4913513bd6a55de89df587a43d28bd69daa0b152117bd1ffe6c575b1;10
AuditorStaked(uint256,address,uint256);\xfd9591c85df8499335cd56f4d424508dda7b2034393aef62fda8b87d8538a21f;10
WithdrawedStake(uint256,address,uint256);\x80fab593b1da4156ddd32f57f7e9256cbf215a9a556242c22722dcc4f170ecc3;10
SlashedStake(uint256,address);\x0b9dc2d58f0dcae96d915b07e46c30784226eba5207b8358e1b58a33e7410a33;10
TransferWithLockEvt(address,address,uint256,uint32);\xcca13628a39fb6f93b19dcd48c288605d535eb491cacb43ab1a509aec720785a;10
Bet(address,uint256,uint256,uint8,uint8,uint8,uint256);\x1e319564e7ac5e8260fae47753075a4af889324e54a2f3665b4d779bcc2fa4de;10
Cancel(uint256);\x8bf30e7ff26833413be5f69e1d373744864d600b664204b4a2f9844a8eedb9ed;10
Finish(uint256,uint256,uint256,uint256,uint256,uint8,uint8,uint8);\x535eeba2270dbb6bc24dba7beae36e6a1ff5283a350594d9a6cce1df2548956e;10
Invested(address,uint256,uint128);\x32326b44584c151e5de3f56e61f6c3ab2a7ffe391bdda0ff970d431332f88c58;10
TokenBurn(address,uint256);\xab85194d35c4ea153d0b51f3a304d1d22cb8023e499a6503fb6c28c5864ae90e;10
TokenAdd(address,uint256);\x0128aee808b8c93c89a4baaebb96c175a3853e59237bf506c56942a095016d1c;10
Set_TokenReward(uint256);\x0896161ec05719f9bbbd8730dd30e1548ba4a247e03e3187e5b359c95ebcf9d6;10
Set_DepositPeriod(uint256,uint256);\x8d1ce91dbeffda680349dfa6fd19b8346f05d6dfd846924245d5650aa240797a;10
WithdrawETH(uint256);\x94effa14ea3a1ef396fa2fd829336d1597f1d76b548c26bfa2332869706638af;10
BlockedAddress(address);\x7cb7e15c856a47197090fbeff974b9b35b88aac9b4cca42de588af07b0fd7bd4;10
TempLockedAddress(address,uint256);\x7b4a7c088cfb40385e9bc798e79a84385ae31c2c1c0f27f815a3ab758f125bac;10
EtherReceived(uint256);\x0a34e3d4f1e6b837dbce1011b61499fa1a483a0abee6a7a6697660b4b2d97132;10
TokenExchanged(address,address,uint256,uint256,uint256,address,uint256);\xbf7cd8c76679a5af7e65803ef600bcf955fbbaf7972de3861a1f848b3a50159f;10
Locked(uint256);\x032bc66be43dbccb7487781d168eb7bda224628a3b2c3388bdf69b532a3a1611;10
Set_Status(string);\x1c45fc80be7caab25b1c2ccbeb952a3535e5194a08fdc28e258bf037b9085fd6;10
Set_TimeStamp(uint256,uint256);\xcd8b2712277fe2c307261df6b41985b2df45abf53fab3d633762fd8daaffee4e;10
Vault(address,address,uint8);\x5eedfceb7cfa7af0c27e67695a9b85d49205af1ab214b4c0684d25a40ffa50b2;10
TokenTapAdjusted(uint256);\x58dc81a5a35a7382f55befd4dc3e2da9749e706e27be8e1e2ad00b0611cdc671;10
Produce(uint256,string);\x8bca459c4659c5eec70fecb2d13d3ebf57813a4ab8fb83c241ee39c6a1562dec;10
CKNPrice(address,uint256,uint256,uint256,uint256,uint256,string);\xc21fe061f20452b681f10868698c3166931a5e72af15bfde8f6d9cb855670d76;10
SetMiner(address,address);\x857d613c213ac1a9d7cbf6e7da75394163ce32ea31d5a3fdcde052dc5e5d06bd;10
MineFound(address,uint256);\x27f7e38eb87cad269e6ccf82f7aa64aedc8754ef41e86536edc7f132799367e3;10
MineChipped(address,uint256,uint256);\xe96c3ccf6e21adeb5ecf0597998084e94b6e13b26d45fc12636507671cee4c20;10
MineExausted(address,uint256);\xff5f71904b5a7c04fd28e4733b9d0bd8974d51d92105a3bb122565841718e4e2;10
WhitelistModified(address,bool);\xa46f360b362e665dc5d2b454217a9667d2284fdb46344fb73e6cb880fffeb91c;10
BeneficiaryDestroyed(address);\xeab6d74c4333dc545afc8f0ffc059c43b97bbb19562cf6cc91ec8c2595ae1073;10
info(string,uint8);\x7ad2856fa12cc80edfeaee58a5a0cb7e8a8ee554a00ab5563c5521bed2076f90;10
gameResult(uint256,address);\x568a807765db7b2c3f27d1157cf905be0d7503ba3c4a1d9818cc50ac4db8f25d;10
RequestRedemption(address,uint256,uint256);\x1b12ceff36b5e845cc6b35274ad2a156f3de611a116023d4c221ab00f7661114;10
CancelRedemptionRequest(address,uint256,uint256);\x8f7054373f3da53a88f6ae79d6874df51506a6b28f7329e478bfa7bd03b43385;10
HolderRedemption(address,uint256,uint256,uint256);\x482787b40d8977ec4d369a97ecc780d7a50ab9df8320669e96ef0a0490cdff8f;10
DistributionStarted(uint256);\x46f46cd39c3d6f99f1d4603ebdeecb06ac02e1c3ef0cc20a8fe5aedaf472d853;10
DistributionCompleted(uint256,uint256,uint256);\x61d8008adcfe89453f92a3e6aa73ac122e791887a44c66d2241c854a71d63f96;10
